timestamp,value,sensor_id,location_id
2026-04-09 10:21:31.111+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 10:20:30.998+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:19:31.587+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 10:18:31.018+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 10:17:31.138+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 10:16:30.69+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:15:30.686+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:14:30.61+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:13:31.492+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:12:33.438+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 10:11:30.965+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 10:10:31.092+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 10:09:30.63+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 10:08:30.378+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 10:07:30.243+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 10:06:30.57+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 10:05:30.288+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 10:04:30.358+00,23,5a31c22bca88de2d3b5dd140,
2026-04-09 10:03:29.849+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 10:02:30+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 10:01:30.499+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 10:00:29.705+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:59:29.763+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:58:29.398+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:57:29.447+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:56:29.557+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:55:29.289+00,22.5,5a31c22bca88de2d3b5dd140,
2026-04-09 09:54:29.384+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:53:29.137+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:52:29.094+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:51:29.118+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:50:28.806+00,22.6,5a31c22bca88de2d3b5dd140,
2026-04-09 09:49:28.624+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:48:28.687+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:47:28.711+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 09:46:28.462+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 09:45:28.249+00,22.9,5a31c22bca88de2d3b5dd140,
2026-04-09 09:44:28.348+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:43:28.254+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:42:27.975+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:41:27.956+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:40:28.026+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:39:27.685+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:38:27.801+00,22.7,5a31c22bca88de2d3b5dd140,
2026-04-09 09:37:27.692+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:36:27.354+00,22.8,5a31c22bca88de2d3b5dd140,
2026-04-09 09:35:27.382+00,22.8,5a31c22bca88de2d3b5dd140,
