timestamp,value,sensor_id,sensor_title,sensor_type,unit,box_id
2026-04-06T11:37:15.755Z,24.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:38:15.842Z,24.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:39:15.937Z,24.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:40:16.055Z,24.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:41:16.163Z,24.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:42:16.240Z,24.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:43:16.341Z,24.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:44:21.789Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:45:23.567Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:46:31.093Z,23.9,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:47:16.628Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:48:16.689Z,24.3,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:49:16.785Z,24.5,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:50:16.866Z,24.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:51:16.946Z,24.4,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:52:17.046Z,24.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:53:17.067Z,23.8,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:54:17.178Z,23.7,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:55:23.243Z,24.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:56:17.380Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:57:17.413Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:58:17.435Z,24.2,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T11:59:17.491Z,24.1,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:06:36.001Z,23.0,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
2026-04-06T13:07:36.120Z,22.6,69d0277891c0af0007451229,Temperature,,°C,p810vjrlrsb1xfppeydiv778
